trip_id,stop_id,arrival_time,departure_time,stop_sequence,arrival_time_clean
AFA25GEN-1038-Sunday-00_000600_1..S03R,101S,00:06:00,00:06:00,1,00:06:00
AFA25GEN-1038-Sunday-00_000600_1..S03R,103S,00:07:30,00:07:30,2,00:07:30
AFA25GEN-1038-Sunday-00_000600_1..S03R,104S,00:09:00,00:09:00,3,00:09:00
AFA25GEN-1038-Sunday-00_000600_1..S03R,106S,00:10:30,00:10:30,4,00:10:30
AFA25GEN-1038-Sunday-00_000600_1..S03R,107S,00:12:00,00:12:00,5,00:12:00
AFA25GEN-1038-Sunday-00_000600_1..S03R,108S,00:13:00,00:13:00,6,00:13:00
AFA25GEN-1038-Sunday-00_000600_1..S03R,109S,00:14:30,00:14:30,7,00:14:30
AFA25GEN-1038-Sunday-00_000600_1..S03R,110S,00:16:00,00:16:00,8,00:16:00
AFA25GEN-1038-Sunday-00_000600_1..S03R,111S,00:17:30,00:17:30,9,00:17:30
AFA25GEN-1038-Sunday-00_000600_1..S03R,112S,00:19:30,00:19:30,10,00:19:30
AFA25GEN-1038-Sunday-00_000600_1..S03R,113S,00:21:00,00:21:00,11,00:21:00
AFA25GEN-1038-Sunday-00_000600_1..S03R,114S,00:23:00,00:23:00,12,00:23:00
AFA25GEN-1038-Sunday-00_000600_1..S03R,115S,00:24:30,00:24:30,13,00:24:30
AFA25GEN-1038-Sunday-00_000600_1..S03R,116S,00:26:00,00:26:00,14,00:26:00
AFA25GEN-1038-Sunday-00_000600_1..S03R,117S,00:28:30,00:28:30,15,00:28:30
AFA25GEN-1038-Sunday-00_000600_1..S03R,118S,00:29:30,00:29:30,16,00:29:30
AFA25GEN-1038-Sunday-00_000600_1..S03R,119S,00:30:30,00:30:30,17,00:30:30
AFA25GEN-1038-Sunday-00_000600_1..S03R,120S,00:32:30,00:32:30,18,00:32:30
AFA25GEN-1038-Sunday-00_000600_1..S03R,121S,00:34:30,00:34:30,19,00:34:30
AFA25GEN-1038-Sunday-00_000600_1..S03R,122S,00:35:30,00:35:30,20,00:35:30
AFA25GEN-1038-Sunday-00_000600_1..S03R,123S,00:37:00,00:37:00,21,00:37:00
AFA25GEN-1038-Sunday-00_000600_1..S03R,124S,00:38:30,00:38:30,22,00:38:30
AFA25GEN-1038-Sunday-00_000600_1..S03R,125S,00:40:00,00:40:00,23,00:40:00
AFA25GEN-1038-Sunday-00_000600_1..S03R,126S,00:42:00,00:42:00,24,00:42:00
AFA25GEN-1038-Sunday-00_000600_1..S03R,127S,00:43:30,00:43:30,25,00:43:30
AFA25GEN-1038-Sunday-00_000600_1..S03R,128S,00:45:00,00:45:00,26,00:45:00
AFA25GEN-1038-Sunday-00_000600_1..S03R,129S,00:46:00,00:46:00,27,00:46:00
AFA25GEN-1038-Sunday-00_000600_1..S03R,130S,00:47:00,00:47:00,28,00:47:00
AFA25GEN-1038-Sunday-00_000600_1..S03R,131S,00:48:00,00:48:00,29,00:48:00
AFA25GEN-1038-Sunday-00_000600_1..S03R,132S,00:49:00,00:49:00,30,00:49:00
AFA25GEN-1038-Sunday-00_000600_1..S03R,133S,00:50:30,00:50:30,31,00:50:30
AFA25GEN-1038-Sunday-00_000600_1..S03R,134S,00:52:00,00:52:00,32,00:52:00
AFA25GEN-1038-Sunday-00_000600_1..S03R,135S,00:54:00,00:54:00,33,00:54:00
AFA25GEN-1038-Sunday-00_000600_1..S03R,136S,00:55:00,00:55:00,34,00:55:00
AFA25GEN-1038-Sunday-00_000600_1..S03R,137S,00:56:00,00:59:00,35,00:56:00
AFA25GEN-1038-Sunday-00_000600_1..S03R,138S,01:00:30,01:00:30,36,01:00:30
AFA25GEN-1038-Sunday-00_000600_1..S03R,139S,01:02:00,01:02:00,37,01:02:00
AFA25GEN-1038-Sunday-00_000600_1..S03R,142S,01:04:00,01:04:00,38,01:04:00
AFA25GEN-1038-Sunday-00_002600_1..S03R,101S,00:26:00,00:26:00,1,00:26:00
AFA25GEN-1038-Sunday-00_002600_1..S03R,103S,00:27:30,00:27:30,2,00:27:30
AFA25GEN-1038-Sunday-00_002600_1..S03R,104S,00:29:00,00:29:00,3,00:29:00
AFA25GEN-1038-Sunday-00_002600_1..S03R,106S,00:30:30,00:30:30,4,00:30:30
AFA25GEN-1038-Sunday-00_002600_1..S03R,107S,00:32:00,00:32:00,5,00:32:00
AFA25GEN-1038-Sunday-00_002600_1..S03R,108S,00:33:00,00:33:00,6,00:33:00
AFA25GEN-1038-Sunday-00_002600_1..S03R,109S,00:34:30,00:34:30,7,00:34:30
AFA25GEN-1038-Sunday-00_002600_1..S03R,110S,00:36:00,00:36:00,8,00:36:00
AFA25GEN-1038-Sunday-00_002600_1..S03R,111S,00:37:30,00:37:30,9,00:37:30
AFA25GEN-1038-Sunday-00_002600_1..S03R,112S,00:39:30,00:39:30,10,00:39:30
AFA25GEN-1038-Sunday-00_002600_1..S03R,113S,00:41:00,00:41:00,11,00:41:00
AFA25GEN-1038-Sunday-00_002600_1..S03R,114S,00:43:00,00:43:00,12,00:43:00
AFA25GEN-1038-Sunday-00_002600_1..S03R,115S,00:44:30,00:44:30,13,00:44:30
AFA25GEN-1038-Sunday-00_002600_1..S03R,116S,00:46:00,00:46:00,14,00:46:00
AFA25GEN-1038-Sunday-00_002600_1..S03R,117S,00:48:30,00:48:30,15,00:48:30
AFA25GEN-1038-Sunday-00_002600_1..S03R,118S,00:49:30,00:49:30,16,00:49:30
AFA25GEN-1038-Sunday-00_002600_1..S03R,119S,00:50:30,00:50:30,17,00:50:30
AFA25GEN-1038-Sunday-00_002600_1..S03R,120S,00:52:30,00:52:30,18,00:52:30
AFA25GEN-1038-Sunday-00_002600_1..S03R,121S,00:54:30,00:54:30,19,00:54:30
AFA25GEN-1038-Sunday-00_002600_1..S03R,122S,00:55:30,00:55:30,20,00:55:30
AFA25GEN-1038-Sunday-00_002600_1..S03R,123S,00:57:00,00:57:00,21,00:57:00
AFA25GEN-1038-Sunday-00_002600_1..S03R,124S,00:58:30,00:58:30,22,00:58:30
AFA25GEN-1038-Sunday-00_002600_1..S03R,125S,01:00:00,01:00:00,23,01:00:00
AFA25GEN-1038-Sunday-00_002600_1..S03R,126S,01:02:00,01:02:00,24,01:02:00
AFA25GEN-1038-Sunday-00_002600_1..S03R,127S,01:03:30,01:03:30,25,01:03:30
AFA25GEN-1038-Sunday-00_002600_1..S03R,128S,01:05:00,01:05:00,26,01:05:00
AFA25GEN-1038-Sunday-00_002600_1..S03R,129S,01:06:00,01:06:00,27,01:06:00
AFA25GEN-1038-Sunday-00_002600_1..S03R,130S,01:07:00,01:07:00,28,01:07:00
AFA25GEN-1038-Sunday-00_002600_1..S03R,131S,01:08:00,01:08:00,29,01:08:00
AFA25GEN-1038-Sunday-00_002600_1..S03R,132S,01:09:00,01:09:00,30,01:09:00
AFA25GEN-1038-Sunday-00_002600_1..S03R,133S,01:10:30,01:10:30,31,01:10:30
AFA25GEN-1038-Sunday-00_002600_1..S03R,134S,01:12:00,01:12:00,32,01:12:00
AFA25GEN-1038-Sunday-00_002600_1..S03R,135S,01:14:00,01:14:00,33,01:14:00
AFA25GEN-1038-Sunday-00_002600_1..S03R,136S,01:15:00,01:15:00,34,01:15:00
AFA25GEN-1038-Sunday-00_002600_1..S03R,137S,01:16:00,01:19:00,35,01:16:00
AFA25GEN-1038-Sunday-00_002600_1..S03R,138S,01:20:30,01:20:30,36,01:20:30
AFA25GEN-1038-Sunday-00_002600_1..S03R,139S,01:22:00,01:22:00,37,01:22:00
AFA25GEN-1038-Sunday-00_002600_1..S03R,142S,01:24:00,01:24:00,38,01:24:00
AFA25GEN-1038-Sunday-00_004600_1..S03R,101S,00:46:00,00:46:00,1,00:46:00
AFA25GEN-1038-Sunday-00_004600_1..S03R,103S,00:47:30,00:47:30,2,00:47:30
AFA25GEN-1038-Sunday-00_004600_1..S03R,104S,00:49:00,00:49:00,3,00:49:00
AFA25GEN-1038-Sunday-00_004600_1..S03R,106S,00:50:30,00:50:30,4,00:50:30
AFA25GEN-1038-Sunday-00_004600_1..S03R,107S,00:52:00,00:52:00,5,00:52:00
AFA25GEN-1038-Sunday-00_004600_1..S03R,108S,00:53:00,00:53:00,6,00:53:00
AFA25GEN-1038-Sunday-00_004600_1..S03R,109S,00:54:30,00:54:30,7,00:54:30
AFA25GEN-1038-Sunday-00_004600_1..S03R,110S,00:56:00,00:56:00,8,00:56:00
AFA25GEN-1038-Sunday-00_004600_1..S03R,111S,00:57:30,00:57:30,9,00:57:30
AFA25GEN-1038-Sunday-00_004600_1..S03R,112S,00:59:30,00:59:30,10,00:59:30
AFA25GEN-1038-Sunday-00_004600_1..S03R,113S,01:01:00,01:01:00,11,01:01:00
AFA25GEN-1038-Sunday-00_004600_1..S03R,114S,01:03:00,01:03:00,12,01:03:00
AFA25GEN-1038-Sunday-00_004600_1..S03R,115S,01:04:30,01:04:30,13,01:04:30
AFA25GEN-1038-Sunday-00_004600_1..S03R,116S,01:06:00,01:06:00,14,01:06:00
AFA25GEN-1038-Sunday-00_004600_1..S03R,117S,01:08:30,01:08:30,15,01:08:30
AFA25GEN-1038-Sunday-00_004600_1..S03R,118S,01:09:30,01:09:30,16,01:09:30
AFA25GEN-1038-Sunday-00_004600_1..S03R,119S,01:10:30,01:10:30,17,01:10:30
AFA25GEN-1038-Sunday-00_004600_1..S03R,120S,01:12:30,01:12:30,18,01:12:30
AFA25GEN-1038-Sunday-00_004600_1..S03R,121S,01:14:30,01:14:30,19,01:14:30
AFA25GEN-1038-Sunday-00_004600_1..S03R,122S,01:15:30,01:15:30,20,01:15:30
AFA25GEN-1038-Sunday-00_004600_1..S03R,123S,01:17:00,01:17:00,21,01:17:00
AFA25GEN-1038-Sunday-00_004600_1..S03R,124S,01:18:30,01:18:30,22,01:18:30
AFA25GEN-1038-Sunday-00_004600_1..S03R,125S,01:20:00,01:20:00,23,01:20:00
AFA25GEN-1038-Sunday-00_004600_1..S03R,126S,01:22:00,01:22:00,24,01:22:00
AFA25GEN-1038-Sunday-00_004600_1..S03R,127S,01:23:30,01:23:30,25,01:23:30
AFA25GEN-1038-Sunday-00_004600_1..S03R,128S,01:25:00,01:25:00,26,01:25:00
AFA25GEN-1038-Sunday-00_004600_1..S03R,129S,01:26:00,01:26:00,27,01:26:00
AFA25GEN-1038-Sunday-00_004600_1..S03R,130S,01:27:00,01:27:00,28,01:27:00
AFA25GEN-1038-Sunday-00_004600_1..S03R,131S,01:28:00,01:28:00,29,01:28:00
AFA25GEN-1038-Sunday-00_004600_1..S03R,132S,01:29:00,01:29:00,30,01:29:00
AFA25GEN-1038-Sunday-00_004600_1..S03R,133S,01:30:30,01:30:30,31,01:30:30
AFA25GEN-1038-Sunday-00_004600_1..S03R,134S,01:32:00,01:32:00,32,01:32:00
AFA25GEN-1038-Sunday-00_004600_1..S03R,135S,01:34:00,01:34:00,33,01:34:00
AFA25GEN-1038-Sunday-00_004600_1..S03R,136S,01:35:00,01:35:00,34,01:35:00
AFA25GEN-1038-Sunday-00_004600_1..S03R,137S,01:36:00,01:39:00,35,01:36:00
AFA25GEN-1038-Sunday-00_004600_1..S03R,138S,01:40:30,01:40:30,36,01:40:30
AFA25GEN-1038-Sunday-00_004600_1..S03R,139S,01:42:00,01:42:00,37,01:42:00
AFA25GEN-1038-Sunday-00_004600_1..S03R,142S,01:44:00,01:44:00,38,01:44:00
AFA25GEN-1038-Sunday-00_006600_1..S03R,101S,01:06:00,01:06:00,1,01:06:00
AFA25GEN-1038-Sunday-00_006600_1..S03R,103S,01:07:30,01:07:30,2,01:07:30
AFA25GEN-1038-Sunday-00_006600_1..S03R,104S,01:09:00,01:09:00,3,01:09:00
AFA25GEN-1038-Sunday-00_006600_1..S03R,106S,01:10:30,01:10:30,4,01:10:30
AFA25GEN-1038-Sunday-00_006600_1..S03R,107S,01:12:00,01:12:00,5,01:12:00
AFA25GEN-1038-Sunday-00_006600_1..S03R,108S,01:13:00,01:13:00,6,01:13:00
AFA25GEN-1038-Sunday-00_006600_1..S03R,109S,01:14:30,01:14:30,7,01:14:30
AFA25GEN-1038-Sunday-00_006600_1..S03R,110S,01:16:00,01:16:00,8,01:16:00
AFA25GEN-1038-Sunday-00_006600_1..S03R,111S,01:17:30,01:17:30,9,01:17:30
AFA25GEN-1038-Sunday-00_006600_1..S03R,112S,01:19:30,01:19:30,10,01:19:30
AFA25GEN-1038-Sunday-00_006600_1..S03R,113S,01:21:00,01:21:00,11,01:21:00
AFA25GEN-1038-Sunday-00_006600_1..S03R,114S,01:23:00,01:23:00,12,01:23:00
AFA25GEN-1038-Sunday-00_006600_1..S03R,115S,01:24:30,01:24:30,13,01:24:30
AFA25GEN-1038-Sunday-00_006600_1..S03R,116S,01:26:00,01:26:00,14,01:26:00
AFA25GEN-1038-Sunday-00_006600_1..S03R,117S,01:28:30,01:28:30,15,01:28:30
AFA25GEN-1038-Sunday-00_006600_1..S03R,118S,01:29:30,01:29:30,16,01:29:30
AFA25GEN-1038-Sunday-00_006600_1..S03R,119S,01:30:30,01:30:30,17,01:30:30
AFA25GEN-1038-Sunday-00_006600_1..S03R,120S,01:32:30,01:32:30,18,01:32:30
AFA25GEN-1038-Sunday-00_006600_1..S03R,121S,01:34:30,01:34:30,19,01:34:30
AFA25GEN-1038-Sunday-00_006600_1..S03R,122S,01:35:30,01:35:30,20,01:35:30
AFA25GEN-1038-Sunday-00_006600_1..S03R,123S,01:37:00,01:37:00,21,01:37:00
AFA25GEN-1038-Sunday-00_006600_1..S03R,124S,01:38:30,01:38:30,22,01:38:30
AFA25GEN-1038-Sunday-00_006600_1..S03R,125S,01:40:00,01:40:00,23,01:40:00
AFA25GEN-1038-Sunday-00_006600_1..S03R,126S,01:42:00,01:42:00,24,01:42:00
AFA25GEN-1038-Sunday-00_006600_1..S03R,127S,01:43:30,01:43:30,25,01:43:30
AFA25GEN-1038-Sunday-00_006600_1..S03R,128S,01:45:00,01:45:00,26,01:45:00
AFA25GEN-1038-Sunday-00_006600_1..S03R,129S,01:46:00,01:46:00,27,01:46:00
AFA25GEN-1038-Sunday-00_006600_1..S03R,130S,01:47:00,01:47:00,28,01:47:00
AFA25GEN-1038-Sunday-00_006600_1..S03R,131S,01:48:00,01:48:00,29,01:48:00
AFA25GEN-1038-Sunday-00_006600_1..S03R,132S,01:49:00,01:49:00,30,01:49:00
AFA25GEN-1038-Sunday-00_006600_1..S03R,133S,01:50:30,01:50:30,31,01:50:30
AFA25GEN-1038-Sunday-00_006600_1..S03R,134S,01:52:00,01:52:00,32,01:52:00
AFA25GEN-1038-Sunday-00_006600_1..S03R,135S,01:54:00,01:54:00,33,01:54:00
AFA25GEN-1038-Sunday-00_006600_1..S03R,136S,01:55:00,01:55:00,34,01:55:00
AFA25GEN-1038-Sunday-00_006600_1..S03R,137S,01:56:00,01:59:00,35,01:56:00
AFA25GEN-1038-Sunday-00_006600_1..S03R,138S,02:00:30,02:00:30,36,02:00:30
AFA25GEN-1038-Sunday-00_006600_1..S03R,139S,02:02:00,02:02:00,37,02:02:00
AFA25GEN-1038-Sunday-00_006600_1..S03R,142S,02:04:00,02:04:00,38,02:04:00
AFA25GEN-1038-Sunday-00_007200_1..N03R,142N,01:12:00,01:12:00,1,01:12:00
AFA25GEN-1038-Sunday-00_007200_1..N03R,139N,01:14:30,01:14:30,2,01:14:30
AFA25GEN-1038-Sunday-00_007200_1..N03R,138N,01:15:30,01:15:30,3,01:15:30
AFA25GEN-1038-Sunday-00_007200_1..N03R,137N,01:16:30,01:16:30,4,01:16:30
AFA25GEN-1038-Sunday-00_007200_1..N03R,136N,01:18:00,01:18:00,5,01:18:00
AFA25GEN-1038-Sunday-00_007200_1..N03R,135N,01:19:00,01:19:00,6,01:19:00
AFA25GEN-1038-Sunday-00_007200_1..N03R,134N,01:20:30,01:20:30,7,01:20:30
AFA25GEN-1038-Sunday-00_007200_1..N03R,133N,01:22:00,01:22:00,8,01:22:00
AFA25GEN-1038-Sunday-00_007200_1..N03R,132N,01:23:30,01:23:30,9,01:23:30
AFA25GEN-1038-Sunday-00_007200_1..N03R,131N,01:24:30,01:24:30,10,01:24:30
AFA25GEN-1038-Sunday-00_007200_1..N03R,130N,01:25:30,01:25:30,11,01:25:30
AFA25GEN-1038-Sunday-00_007200_1..N03R,129N,01:26:30,01:26:30,12,01:26:30
AFA25GEN-1038-Sunday-00_007200_1..N03R,128N,01:28:00,01:28:00,13,01:28:00
AFA25GEN-1038-Sunday-00_007200_1..N03R,127N,01:29:30,01:29:30,14,01:29:30
AFA25GEN-1038-Sunday-00_007200_1..N03R,126N,01:31:30,01:31:30,15,01:31:30
AFA25GEN-1038-Sunday-00_007200_1..N03R,125N,01:33:30,01:33:30,16,01:33:30
AFA25GEN-1038-Sunday-00_007200_1..N03R,124N,01:35:00,01:35:00,17,01:35:00
AFA25GEN-1038-Sunday-00_007200_1..N03R,123N,01:36:00,01:36:00,18,01:36:00
AFA25GEN-1038-Sunday-00_007200_1..N03R,122N,01:37:30,01:37:30,19,01:37:30
AFA25GEN-1038-Sunday-00_007200_1..N03R,121N,01:39:00,01:39:00,20,01:39:00
AFA25GEN-1038-Sunday-00_007200_1..N03R,120N,01:40:30,01:40:30,21,01:40:30
AFA25GEN-1038-Sunday-00_007200_1..N03R,119N,01:42:00,01:42:00,22,01:42:00
AFA25GEN-1038-Sunday-00_007200_1..N03R,118N,01:43:30,01:43:30,23,01:43:30
AFA25GEN-1038-Sunday-00_007200_1..N03R,117N,01:44:30,01:44:30,24,01:44:30
AFA25GEN-1038-Sunday-00_007200_1..N03R,116N,01:46:30,01:46:30,25,01:46:30
AFA25GEN-1038-Sunday-00_007200_1..N03R,115N,01:48:30,01:48:30,26,01:48:30
AFA25GEN-1038-Sunday-00_007200_1..N03R,114N,01:50:00,01:50:00,27,01:50:00
AFA25GEN-1038-Sunday-00_007200_1..N03R,113N,01:52:00,01:52:00,28,01:52:00
AFA25GEN-1038-Sunday-00_007200_1..N03R,112N,01:54:00,01:54:00,29,01:54:00
AFA25GEN-1038-Sunday-00_007200_1..N03R,111N,01:56:00,01:56:00,30,01:56:00
AFA25GEN-1038-Sunday-00_007200_1..N03R,110N,01:57:30,01:57:30,31,01:57:30
AFA25GEN-1038-Sunday-00_007200_1..N03R,109N,01:58:30,01:58:30,32,01:58:30
AFA25GEN-1038-Sunday-00_007200_1..N03R,108N,02:00:00,02:00:00,33,02:00:00
AFA25GEN-1038-Sunday-00_007200_1..N03R,107N,02:01:30,02:01:30,34,02:01:30
AFA25GEN-1038-Sunday-00_007200_1..N03R,106N,02:03:00,02:03:00,35,02:03:00
AFA25GEN-1038-Sunday-00_007200_1..N03R,104N,02:04:30,02:04:30,36,02:04:30
AFA25GEN-1038-Sunday-00_007200_1..N03R,103N,02:06:00,02:09:00,37,02:06:00
AFA25GEN-1038-Sunday-00_007200_1..N03R,101N,02:10:30,02:10:30,38,02:10:30
AFA25GEN-1038-Sunday-00_008600_1..S03R,101S,01:26:00,01:26:00,1,01:26:00
AFA25GEN-1038-Sunday-00_008600_1..S03R,103S,01:27:30,01:27:30,2,01:27:30
AFA25GEN-1038-Sunday-00_008600_1..S03R,104S,01:29:00,01:29:00,3,01:29:00
AFA25GEN-1038-Sunday-00_008600_1..S03R,106S,01:30:30,01:30:30,4,01:30:30
AFA25GEN-1038-Sunday-00_008600_1..S03R,107S,01:32:00,01:32:00,5,01:32:00
AFA25GEN-1038-Sunday-00_008600_1..S03R,108S,01:33:00,01:33:00,6,01:33:00
AFA25GEN-1038-Sunday-00_008600_1..S03R,109S,01:34:30,01:34:30,7,01:34:30
AFA25GEN-1038-Sunday-00_008600_1..S03R,110S,01:36:00,01:36:00,8,01:36:00
AFA25GEN-1038-Sunday-00_008600_1..S03R,111S,01:37:30,01:37:30,9,01:37:30
AFA25GEN-1038-Sunday-00_008600_1..S03R,112S,01:39:30,01:39:30,10,01:39:30
AFA25GEN-1038-Sunday-00_008600_1..S03R,113S,01:41:00,01:41:00,11,01:41:00
